Time,SO2,H2S,H2,CO2serial,CO2_Corre,Ext,Rh,Tair,Pressure,Lat,Long,VBatt,H2Scor,H2cor,,,
13/07/2018 19:25,0.9482803,-0.148942,7.809231,455.62,17.97,19.04271,49.72542,25.37817,808.3,13.43254,-88.26946,13.03007,-0.096642,2.768231,,,
13/07/2018 19:25,0.9398384,-0.1592312,7.939701,456.5246,18.8746,19.07074,49.70108,25.3786,808.4,13.43255,-88.26946,13.03007,-0.1069312,2.898701,,,
13/07/2018 19:25,0.938797,-0.1552181,8.089023,456.8261,19.1761,19.03246,49.64747,25.37717,808.4,13.43256,-88.26947,13.03007,-0.1029181,3.048023,,,
13/07/2018 19:25,0.9357452,-0.1515198,8.142814,458.6353,20.9853,19.00554,49.59496,25.37696,808.3,13.43256,-88.26947,13.03007,-0.0992198,3.101814,,,
13/07/2018 19:25,0.929142,-0.1437454,8.316685,456.223,18.573,18.94423,49.5307,25.3764,808.3,13.43257,-88.26947,13.03007,-0.0914454,3.275685,,,
13/07/2018 19:25,0.932785,-0.1461611,8.275025,458.0322,20.3822,18.94219,49.47679,25.37638,808.3,13.43258,-88.26948,13.03007,-0.0938611,3.234025,,,
13/07/2018 19:26,0.9331818,-0.1557779,8.119568,458.3338,20.6838,19.0066,49.44174,25.37582,808.3,13.43259,-88.26948,13.03007,-0.1034779,3.078568,,,
13/07/2018 19:26,0.9277992,-0.166543,8.134213,459.8414,22.1914,18.64092,49.4437,25.37465,808.3,13.4326,-88.26949,12.94227,-0.114243,3.093213,,,
13/07/2018 19:26,0.9347992,-0.1666203,8.107311,459.2383,21.5883,19.00404,49.48312,25.37364,808.3,13.4326,-88.26949,12.94227,-0.1143203,3.066311,,,
13/07/2018 19:26,0.9361763,-0.1609469,8.027806,458.0322,20.3822,19.23979,49.57087,25.37404,808.3,13.43261,-88.2695,12.94227,-0.1086469,2.986806,,,
13/07/2018 19:26,0.9425278,-0.1471138,7.768306,457.1276,19.4776,19.37133,49.66769,25.374,808.3,13.43262,-88.2695,12.94227,-0.0948138,2.727306,,,
13/07/2018 19:26,0.944088,-0.1432886,7.728485,458.9368,21.2868,19.34147,49.78043,25.37192,808.3,13.43263,-88.2695,12.94227,-0.0909886,2.687485,,,
13/07/2018 19:26,0.9450035,-0.1448612,7.612598,456.8261,19.1761,19.33872,49.89423,25.37218,808.3,13.43263,-88.26951,12.94227,-0.0925612,2.571598,,,
13/07/2018 19:26,0.9501458,-0.1320467,7.422947,456.223,18.573,19.45091,50.02161,25.37137,808.3,13.43264,-88.26951,12.94227,-0.0797467,2.381947,,,
13/07/2018 19:26,0.952797,-0.125535,7.522034,456.8261,19.1761,19.51682,50.15232,25.37231,808.3,13.43265,-88.26951,12.94227,-0.073235,2.481034,,,
13/07/2018 19:26,0.9524498,-0.1186619,7.802372,458.6353,20.9853,19.35508,50.27515,25.37061,808.3,13.43266,-88.26951,12.95223,-0.0663619,2.761372,,,
13/07/2018 19:26,0.9571724,-0.1239719,7.824054,459.5398,21.8898,19.38765,50.37718,25.37006,808.3,13.43267,-88.26951,12.95223,-0.0716719,2.783054,,,
13/07/2018 19:26,0.959568,-0.1427345,8.01611,456.8261,19.1761,19.27831,50.45717,25.36966,808.3,13.43267,-88.26951,12.95223,-0.0904345,2.97511,,,
13/07/2018 19:26,0.9577866,-0.1275435,7.866428,458.6353,20.9853,19.33305,50.51346,25.36998,808.3,13.43268,-88.26952,12.95223,-0.0752435,2.825428,,,
13/07/2018 19:26,0.9591141,-0.1253605,8.032681,459.5398,21.8898,19.20221,50.53628,25.36974,808.3,13.43269,-88.26952,12.95223,-0.0730605,2.991681,,,
13/07/2018 19:26,0.957817,-0.1340008,7.993107,456.223,18.573,19.18182,50.51022,25.36821,808.3,13.4327,-88.26952,12.95223,-0.0817008,2.952107,,,
13/07/2018 19:26,0.9518127,-0.1263409,7.750138,457.1276,19.4776,19.08331,50.46219,25.3676,808.3,13.43271,-88.26952,12.95223,-0.0740409,2.709138,,,
13/07/2018 19:26,0.9524956,-0.1331701,7.636799,454.4139,16.7639,19.19117,50.36744,25.36839,808.3,13.43272,-88.26952,12.95223,-0.0808701,2.595799,,,
13/07/2018 19:26,0.9493218,-0.1292391,7.735989,452.6047,14.9547,19.17388,50.23812,25.36802,808.3,13.43273,-88.26952,13.00128,-0.0769391,2.694989,,,
13/07/2018 19:26,0.9477692,-0.1268539,7.987247,455.62,17.97,19.13914,50.09837,25.36644,808.3,13.43274,-88.26952,13.00128,-0.0745539,2.946247,,,
13/07/2018 19:26,0.9461022,-0.1333637,7.902691,452.6047,14.9547,19.19032,49.9453,25.36546,808.3,13.43275,-88.26953,13.00128,-0.0810637,2.861691,,,
13/07/2018 19:26,0.9409981,-0.1280174,7.670708,453.5093,15.8593,19.15539,49.77914,25.3665,808.3,13.43276,-88.26953,13.00128,-0.0757174,2.629708,,,
13/07/2018 19:26,0.9397888,-0.1264916,7.529266,455.0169,17.3669,19.12754,49.62488,25.36633,808.3,13.43276,-88.26953,13.00128,-0.0741916,2.488266,,,
13/07/2018 19:26,0.9378434,-0.1291142,7.474426,455.3185,17.6685,19.055,49.47002,25.36494,808.3,13.43277,-88.26953,13.00128,-0.0768142,2.433426,,,
13/07/2018 19:26,0.9312286,-0.1338854,7.15667,461.0475,23.3975,19.04031,49.33292,25.36472,808.3,13.43278,-88.26953,13.00128,-0.0815854,2.11567,,,
13/07/2018 19:26,0.9261589,-0.1377773,7.123093,461.6505,24.0005,19.07992,49.21162,25.3639,808.3,13.43279,-88.26953,13.00128,-0.0854773,2.082093,,,
13/07/2018 19:26,0.9185486,-0.138237,7.302818,460.4444,22.7944,19.11667,49.10405,25.36388,808.3,13.4328,-88.26953,12.91334,-0.085937,2.261818,,,
13/07/2018 19:26,0.9140892,-0.1346731,7.216305,456.8261,19.1761,19.18345,48.98461,25.36301,808.3,13.4328,-88.26954,12.91334,-0.0823731,2.175305,,,
13/07/2018 19:26,0.9173279,-0.1318531,7.19582,463.7612,26.1112,19.1786,48.85536,25.36237,808.2,13.43281,-88.26954,12.91334,-0.0795531,2.15482,,,
13/07/2018 19:26,0.9285812,-0.1327324,7.372688,466.475,28.825,19.16327,48.70448,25.36227,808.2,13.43282,-88.26954,12.91334,-0.0804324,2.331688,,,
13/07/2018 19:26,0.9388237,-0.1404657,7.451886,465.5704,27.9204,19.20834,48.53598,25.3622,808.2,13.43283,-88.26954,12.91334,-0.0881657,2.410886,,,
13/07/2018 19:26,0.9551506,-0.1377811,7.391586,468.2841,30.6341,19.21377,48.35602,25.36169,808.2,13.43284,-88.26955,12.91334,-0.0854811,2.350586,,,
13/07/2018 19:26,0.9754105,-0.1464567,7.412166,466.1735,28.5235,19.14071,48.18728,25.36094,808.2,13.43285,-88.26955,12.91334,-0.0941567,2.371166,,,
13/07/2018 19:26,0.9986382,-0.1424704,7.310543,463.4597,25.8097,19.06419,48.01434,25.36036,808.2,13.43286,-88.26955,12.91334,-0.0901704,2.269543,,,
13/07/2018 19:26,1.02491,-0.139472,7.373512,467.9826,30.3326,19.02612,47.86462,25.36025,808.2,13.43287,-88.26956,13.00146,-0.087172,2.332512,,,
13/07/2018 19:26,1.047073,-0.1436377,7.586094,468.8872,31.2372,18.91516,47.71529,25.36054,808.2,13.43288,-88.26956,13.00146,-0.0913377,2.545094,,,
13/07/2018 19:26,1.067135,-0.1243315,7.712113,469.1887,31.5387,18.86279,47.56622,25.3588,808.2,13.43289,-88.26956,13.00146,-0.0720315,2.671113,,,
13/07/2018 19:26,1.079941,-0.1229944,7.68985,470.0933,32.4433,18.89439,47.40512,25.35891,808.2,13.4329,-88.26956,13.00146,-0.0706944,2.64885,,,
